"pair","outcome","nsnps","PP.H0","PP.H1","PP.H2","PP.H3","PP.H4"
"gtex_atrial_nppa_af","ebi-a-GCST006061",399,0.710823423997123,0.0282782237737418,0.141941214772716,0.00563542242120366,0.113321715035216
"gtex_atrial_nppa_cad_cardio","ieu-a-7",395,0.93827920772787,0.0371477627566211,0.0131168611926722,0.000518220758612895,0.0109379475642236
"gtex_atrial_nppa_cad_vdh","ebi-a-GCST005195",375,0.895751379461389,0.0335937893768557,0.0357053215334543,0.00133571225021184,0.0336137973780896
"gtex_atrial_nppa_ces","ebi-a-GCST006910",391,0.907207588348825,0.0353340780790919,0.0307610756613899,0.00119553752384871,0.025501720386845
"gtex_atrial_nppa_hf","ebi-a-GCST009541",393,0.953619731442724,0.0372628461953706,0.00451556451739069,0.00017600383296546,0.00442585401154912
"gtex_atrial_nppa_stroke","ebi-a-GCST005838",390,0.949807773273669,0.0364093841857462,0.00715388822294307,0.000273597495527115,0.0063553568221144
"gtex_ventricle_nppa_af","ebi-a-GCST006061",409,0.434548755337894,0.0505538092208344,0.0869653748157647,0.0100754472457865,0.41785661337972
"gtex_ventricle_nppa_cad_cardio","ieu-a-7",397,0.84217645712398,0.100341564986723,0.0118183501631877,0.0014036776641546,0.0442599500619542
"gtex_ventricle_nppa_cad_vdh","ebi-a-GCST005195",377,0.777892525045026,0.0878116787879892,0.0310366823043113,0.003493570644558,0.0997655432181152
"gtex_ventricle_nppa_ces","ebi-a-GCST006910",392,0.771183039915435,0.0913983517004373,0.0262107669982797,0.00309561199496477,0.108112229390883
"gtex_ventricle_nppa_hf","ebi-a-GCST009541",394,0.877389373937248,0.104253147343575,0.00417490224746069,0.000494701386211916,0.0136878750855047
"gtex_ventricle_nppa_stroke","ebi-a-GCST005838",391,0.87049203833349,0.103188704155839,0.0065795269566469,0.000778045325157617,0.018961685228866
"gtex_atrial_npr3_cad_cardio","ieu-a-7",348,0.918944803668367,0.0569961829425183,0.00647053466845158,0.000399606389569986,0.017188872331093
"gtex_atrial_npr3_cad_vdh","ebi-a-GCST005195",354,0.933588539140331,0.0583039992618709,0.00317884264369915,0.000198050416155529,0.00473056853794306
"gtex_atrial_npr3_mi_har","ebi-a-GCST011364",387,0.923824061675603,0.0607104650125669,0.00627117721151218,0.000411241383202091,0.00878305471711608
"gtex_atrial_npr3_mi_finn","finn-b-I9_MI",352,0.888151576847933,0.054870960190806,0.0173197345931203,0.00106617268600915,0.0385915556821312
"gtex_ventricle_npr3_cad_cardio","ieu-a-7",349,0.95877936484991,0.0287349550545922,0.00685355213017474,0.000204860643057344,0.00542726732226571
"gtex_ventricle_npr3_cad_vdh","ebi-a-GCST005195",355,0.964349299692267,0.0295030157428842,0.00331379040241116,0.000101107839643177,0.00273278632279446
"gtex_ventricle_npr3_mi_har","ebi-a-GCST011364",388,0.955677027007544,0.031708782681532,0.00653303985542285,0.000216175792691558,0.00586497466280986
"gtex_ventricle_npr3_mi_finn","finn-b-I9_MI",353,0.93713113459174,0.0288988649524031,0.0183016671037778,0.000562868745308694,0.0151054646067703
